word、PPT	生物信息工程师
XML编辑器	产品经理 用户研究 产品运营
Microsoft SharePoint	高级软件工程师
TD，Bugfree	软件测试工程师
Altium designer、CAD使	软件工程师
midas civil	项目经理
SSH	软件工程师,软件设计架构,项目经理,软件实施,java软件工程师
SQL&oracle	CIO，IT经理，信息化项目经理
HTML编辑器	国际化推进部部门助理
进口/出口	项目主管/设备主管
Web Develop-ASP	前端研发工程师,兼职市场营销,系统分析师,ORACLE开发工程师,校长,数据统计分析工程师,信息中心经理,软件测试工程师,区域经理,销售工程师
office操作软件	水利技术员
熟练XML和JSon两种数据传输格式	ios软件开发工程师
maya建模软件	flash动画师
3、熟悉Html、CSS、JavaScr	Java软件工程师
RS485 Modbus等协议	嵌入式软件工程师
Microsoft Project Server	软件测试
OpenCV	技术总监\项目经理\技术负责人\算法工程师\研究员
Asp.Net Mvc3	.net软件工程师
ＯＡ办公软件	计划、跟单、助理
行政管理规划	人力资源总监
线下营销活动	策划师
编程、数据库	软件设计师
C开发	软件工程师
JSP、HTML、javascript	Java软件研发工程师
Google Sketchup	设计师
Hibernate的ORM	java初级开发
jsp、servlet	JAVA工程师
统计学	英语外教,人力资源&教师
oracel	产品经理
struts	Java开发工程师,软件工程师,java软件工程师
软件实施	管理、设计 、置业顾问
护理	护士,服装设计师 服装设计师助理
OpenCv	图像处理工程师
loadrunner、TestDirec	咨询顾问
Microsoft .NET	软件工程师,开发工程师,软件开发工程师,市场主管
国家计算机二级	产品机构设计工程师
SQL Server、HTML	国内贸易人员
环境工程	环保,实习生
Div+Css	asp.net程序员,.Net程序员
Help Desk-Windows NT\/2000 AS\/2003	技术支持,信息管理,综合部,系统工程师
GUI	C/C++工程师
Android，java	Android软件开发工程师
计算机硬件	项目经理,软件开发,单片机,软件测试工程师,java软件工程师,测试工程师
C/C++	软件开发工程师,嵌入式软件工程师,Java工程师,技术支持工程师,软件工程师,ios软件工程师,JAVA软件开发,java工程师,cocos2d-x开发,软件测试
社保系统，劳动与工资系统	人事专员   
Maple	电子工程师、电气工程师、电力电子工程师
造价软件	土建工程师
SqlServer	ios开发工程师
教育学	英语教师
操作系统	软件测试工程师,软件开发工程师
Oracle	软件工程师,项目经理,软件测试工程师,Java程序员,Java开发工程师,.NET高级工程师,开发测试实习生,Java软件工程师,产品经理 开发经理,项目经理/总监
IOS SDK	iOS移动开发工程师
后期制作	商务经理
andriod	数据库程序员
英语A级   	化工总控工
OA 自动化办公系统	办公室主任、运营经理、oracle ERP实施
C++、STL	软件工程师
三级数据库技术	报关员
设计	经理,设计师,设计主办,设计师助理,管理
熟练microsoft office	行政专员
信用分析	私募，资产管理公司，股票及市场分析，债卷承销
UIkit	IOS研发
