word、PPT	生物信息工程师
Flex技术	软件工程师
排球	职员
V C 6.0	硬件工程师
熟练掌握Photoshop 等图片处理软件；	编辑
生产管理	生产主管,服装QC  服装生产跟单  QA   QC主管   生产管理,生产总监,高级主管／经理,生产线组长,主管,生产管理,厂长,Project transfer  &   PD manager,生产副总、常务副总、总经理
电信运营支撑工程师	销售工程师
IAR编译器	嵌入式工程师
电气控制系统	测试工程师、电气工程师,电气技术员,工程师
HTML及客户端脚本编写	咨询顾问
pro/e&UG	物流专员/助理、机械类
高分子材料	技术员
FLUENT	CAE
熟练运用excel、word、ppt等办公软件	区域销售经理、新产品推广经理、区域销售管理
google sketchup	景观设计类
oracle+sql server	java程序员
数据结构	linux服务端软件工程师,项目经理/主办,软件开发工程师,软件工程师,C/C++软件工程师,java软件工程师,linux软件工程师
Microsoft Word	实习生,会计助理,市场策划 市场助理 活动策划,工业工程师,工程师,销售副总,HR,热能 ,软件工程师,策划
candence	高级硬件工程师
Aotu CAD	网络维护工程师
多进程/多线程开发	C/C++研发工程师
测试	测试工程师,软件工程师,QA，测试工程师，软件工程师
汇编语言和C++	软件研发工程师
PHP Scripting Language (PHP Hypertext Preprocessor)	php程序员,工程师助理,软件开发工程师,PHP项目经理,PHP开发工程师,软件测试工程师,php开发或者web前端开发,数据库维护开发工程师,PHP
NFC	嵌入式软件工程师
MIS商业系统	采购主管
３Ｄｓ　ｍａｘ	unity3D工程师
MyEclipse	java软件工程师,Java 工程师,C++工程师,软件工程师
测试文档编写	软件测试工程师
土木工程	土建工程师
数据库（SQLite）	Android开发
SQL、SQL Server	软件测试
Coredraw位图处理	暖通工程师
SPSS软件	用户研究员
Project Management	投资管理/证券分析/财务分析/信贷分析
IBM DB2 UDB (Database 2 Universal Database)	软件开发工程师
SqlServer、c#	网站、网页设计维护师
熟练掌握BUG管理工具QC，并熟练使用企	实施工程师
Matlab/Simulink	算法工程师
GDB调试的基本用法	C++软件开发
cad proe	机械工程师，结构工程师，模具工程师
IT-故障管理	IT专员
工艺流程	高级副总裁
Adobe Premiere Pro	元件动画制作
R语言	研究员,环境影响评价编制
Coleldraw	产品设计
熟练掌握jira测试管理工具以及svn、	软件测试工程师
windows系统	网站编辑,linux运维工程师
广联达工程造价系列软件	土木工程师
学生服务	策划
ANSYS有限元结构分析	设计技术员
Office Applications-Wordperfect	市场部经理,分析师,行政人事经理,江西区域推广经理,助理总监,总经理助理,结构工程师
产品生命周期管理	产品总监,深圳宝安分公司负责人
PHP/JSP	量化策略研发岗位
嵌入式编程语言	控制器部主任
翻译软件trados，Google	西班牙语翻译
数据管理	数据库营销,区域销售经理
市场分析	网站编辑
Unspecified	软件工程师,审计师,软件开发工程师,心理咨询师助理 经理助理 行政 客户主管,计划与流程主管,行政文员,iOS软件工程师,Product manager,企业客服专员,销售经理
Altium Designer	硬件工程师,计量工程师,研发工程师,硬件工程师 电气工程师 嵌入式,北京阿奇夏米尔工业电子有限公司
H3CNE	网络管理员
合同管理	商务助理 / 销售支持,技术管理,文秘、新闻、事务管理、采购
word、excel、PPT	项目经理
Oracle HFM	合并报表
DXP/Protel99SE 软件应用	硬件工程师
office办公软件	施工员,Java工程师,助理工程师,市场专员,软件工程师,无,NVH试验/仿真工程师,工程造价,西班牙语翻译,造价员
工具类、通用控件编写	ios开发工程师 ios研发工程师 
SIP (会话初始协议)	研发工程师
solidworks2010-2013	机械设计工程师
Windows Develop-CORBA	Team manager, Specialist,Team Manager, Software Specialist
数控机床	销售员、仓管、出纳、木材加工管理员,装配钳工,数控车工
七、有数字电子理论基础、简单数字电路与音视频应用	Layout工程师
Intouch	电气工程师
Design/Media-Protel	设计验证工程师,技术员,electronical engineer,机电工程师,生产部经理,产品总监,电气工程师,FAE,电子工程师,嵌入式工程师
驾驶（C1）	技术员（自动化反面）、储备干部
objectivec	软件工程师
Web Develop-Visual studio	电子商务运营主管/经理,电气工程师,测试主管
体育教育	销售、客服、教师
LR、QTP、TD、winnerrunn	软件测试工程师
软件开发流程	iOS开发工程师
播音/主持	编辑、记者、企划,店员,会计、会计助理、税务会计、成本会计,行政
oracle、mysql等	java开发工程师
Labview	测试工程师,电子工程师、电气工程师、plc工程师、硬件工程师、仪器仪表、自动控制
产品包装	网站运营，网站策划
数控编程	网站策划、网页设计/制作/美工、网站编辑、电子商务专员、网站营运专员,技术员,制图员,数控镗铣工,产品工艺工程师,数控车工
掌握JavaScript脚本设计	java软件工程师
常用办公软件word，excel等	文档工程师
C#.net	软件工程师
patran/nastran	CAE工程师
摄影	摄影师,摄影师/摄像师，原画师，编辑，排版设计，总编/副总编 ,执行主编,市场部主管,财务,项目经理助理,销售/经纪人、市场专员/市场助理、产品/品牌专员/助理、公关专员/助理、媒介策划/管理,插画师，剪辑师，幼儿美术教师,媒体从业人员,ui设计师
服装配色	设计师
Cimatron E9.0	室内设计
js+Jquery+ajax	C#程序员
SU	景观设计,建筑公司,绿化设计师
ASP.NET	软件工程师,软件开发,初级软件测试工程师
HP Service Manager 	项目经理
熟悉VLAN、ACL、STP、HSRP、	网络管理员
3D建模	施工员,市场推广,建型师,市场调研、策划,行政助理,系统管理员,设计主管,设计师助理
Java编程	java软件工程师,QE质量工程师
office、cad	工业工程师
培训视频剪接、编辑	培训总监
Pro-E三维建模、结构设计	产品工程师
Word编辑，Excel函数等	人力资源管理
MS EXCEL	俄语翻译
inventor	Senior Sourcing Specialist
cognos,datastage	报表开发工程师
linux系统程序设计（LSD）	嵌入式软件开发
无盘工作站建设	公司网管
二级Access	会计
AutoCAD 制图	结构开发
逻辑语言	策划、咨询、编辑
PRO/E、AutoCAD、AI等	采购工程师
synplify	FPGA工程师
JDBC (Java Database Connectivity)	java软件工程师
熟练掌握HTML ，JavaScript	java工程师
apache tomcat	java
IBM AIX操作系统	系统管理员,项目经理,Project Manager
css+div	web前端开发工程师
UG4.0	机械设计工程师
CAD	销售代表,售前技术支持工程师,印刷相关,厂务设施经理 ,储备干部,采购部经理,建筑设计,造价,测量员,空间设计
熟悉c语言	linux-c开发工程师，软件工程师,办事处技术人员
FFmpeg	软件开发工程师
精通JSTL标签及struts2标签	java软件开发及其相关职业
室内设计	室内设计师,设计师,室内设计师助理,设计经理,设计总监，首席设计，高级设计,室内设计总监,审判员,室内外装潢设计,室内设计师，深化设计师
Cocos2d基础	C++工程师
FPGA/VHDL/LIBERO	单片机软件、硬件
Network-LAN	IT,售前 技术支持 售后经理,售前技术支持工程师,通信工程师,LED照明事业部供应链管理部:     采购经理,软件工程师,无,总工,Product manager,硬件研发工程师
Java Swing	高级软件工程师
juniper（交换机、防火墙）	网络工程师
c++开发	C++程序员,项目经理
Java 2 Platform Standard Edition (J2SE)	软件工程师,初级程序员
windows mobile 开发	oracle  DBA
windows下的MFC编程	linux C/C++开发
Shell脚本编程	软件工程师
自动化测试工具	软件测试
C++标准模板库(STL)	高级软件工程师
MS Office Excel	电气助理工程师
WCF	C#软件工程师,项目经理
oracle   mysql	java
Adobe Flash	网页设计师
PROE	机械工程师,机电工程师,产品工程师,设备工程师,品质管理,机械设计工程师,助理工艺工程师,总装工艺工程师
MS Powerpoint	总经理,教育培训,英语教师，英文翻译
word，ppt，excel	网络
Emacs文本编辑器	研究员
Eduis、PS基础操作	电视编导
HTML (超文本标记语言)	软件工程师,电子商务,产品经理,高级工程师,法务专员,web前端开发 Javascript开发工程师,售前售后技术支持/java软件工程师,软件测试工程师,项目管理,ios 软件工程师
cet-4	法务专员 律师助理
影视制作	动画
梦龙项目管理软件	工程部主任
计算机安全	网络工程师 
Eviews	Researcher,数据分析（数据挖掘）,外贸专员,管理培训生,投资
管理策略	助理类 生产管理,品质管理/生产管理,销售总监,经理,机构品质工程师,顾问，经理助理，市场营销分析，战略分析
Linux	软件工程师,java程序员,软件测试工程师,Database Administrator,C++实习生,软件开发,EDA（FPGA、CPLD、PCB)设计,游戏服务器开发工程师,软件实施工程师,售前技术支持
MCSE	项目实施工程师
PROTEL,AUTOCAD	软件工程师
TCP/IP,HTTP	安全工程师
TS 16949	生产主管,体系工程师,生产调度、车间主管
photoshop	实习生,行政主管,室内设计师助理,策划、会展、顾问,外贸业务员,版权管理部门主管,网页制作/网站编辑,产品总监,电气工程师,Unity3D游戏开发
J2EE	软件工程师,浙江奥飞软件公司,项目经理,Android软件工程师,高级软件工程师,软件开发工程师,部门经理,java开发工程师,IT总监,架构师
会计电算化	财务经理
ps、cad、su	景观设计师
xmpp	android
销售管理	销售总监,销售管理,经理助理,集团销售总监,销售代表,OTC主管,客服专员,区域经理,区域经理、销售总监,区域销售、销售经理\主管、督导、营销经理、主管
.NET Compact Framework	副总裁
施工进度	施工员
Html	PHP,高级软件工程师
java开发	java开发工程师,求职,java初级工程师,java软件工程师,oracle维护与开发
熟练使用OFFICE	办公室主任
天线设计	天线工程师/射频工程师
sql数据库	实习生
Microsoft Office（Word、Excel、PowerPoint）	环保设计 环境相关
CAD、Solidworks	采购总监
Office excel	视频审核
Excel,Word和CAD的应用	生产主管
工程预算	采购工程师,会计文员,实习生、助理
linux环境编程	嵌入式linux软件工程师
SSHI	java软件开发工程师
英语作为第二语言(ESL/TESL)	区域销售经理,产品经理,管理培训生，柜员，客户经理，审计，财务,软件测试工程师,商务 项目助理,英文相关类,Eglish Interpreter or Translator；Manager Assistant; Manager or other management positions,副总经理,市场总监,俄语翻译
Struts 1.x	ERP软件工程师
人力资源	行政专员
Network-Cisco Routers	销售经理,技术支持工程师,IT Supervisor,网络通讯工程师,软件实施工程师,BI工程师,设计师,工程技术员,软件测试工程师,店务营业员
培训项目开发	品牌推广主管兼现场经理,培训师
3.\t熟悉Eclipse开发软件的使用。	android软件开发工程师
Silverlight	高级软件工程师
Illustrator	工业设计,设计师,网页、UI设计师,数字化品牌营销策划,企业文化专员,网页制作,平面设计,广告文案
IBM OS-390 Operating System	需求分析，系统分析，咨询顾问
管理咨询	咨询顾问、培训师、管理顾问、证券分析师,高级顾问/人力资源/战略管理,咨询总监
javascript(jquery)	程序员
技术培训	项目管理 机械设计
mvc设计模式开发	java开发工程师
环境微生物学	工程师,水处理员
生产系统	策划
C语言编程	造价员,服务工程师
Oracle和SQL	程序员
熟练AUTOCAD制图软件	水暖设计/采暖系统设计/现场管理/现场协调
风险管理	风险管理策略,客服经理,融资、资产管理、风险控制、金融创新
Network-IIS	开发工程师,首席运营官（监管行政人事总监）,网管,软件工程师,软件开发/技术研究,CIO,测试开发工程师经理,技术部经理,IT 副理,首席运营官COO、总裁 副总裁 总经理 副总经理 总监 事业部总经理
员工培训	保险主管,人事专员、招聘、培训专员、员工关系管理
adobe audition	FLASH 动画师
审机妙算	销售实习生
cad二级	现成技术
Hardware & Software	网络管理员
UGS NX	机械设计工程师
javascript，css	java
贸易	科伦包装材料有限公司
Sage 50	管理培训生
擅长VC++、VB程序设计	电子工程师
S2SH框架	java 开发工程师
Visual C#	项目管理
Java、c++、 c、OC	iOS开发工程师
Hibernate、Spring、Str	软件工程师
word,excel等办公软件	财务
Cadence	工程师,嵌入式工程师
熟练使用EXCEL、WORD、PPT等办公软件	培训主管
Hibernate	软件工程师,软件开发工程师,java软件工程师,java程序员,java软件开发工程师,java,Java工程师,中级Java工程师，高级java工程师，软件工程师,java 实习,JAVA实习生,软件需求分析
Bulk Emailers	销售助理，外贸跟单，外贸业务，咨询顾问
服装行业	QA/QC
网页制作与管理	通信 电子 销售 财会
erp系统软件	税务专员
软件编程和调试	IT工程师
单片机（80c51）	嵌入式C/C++开发工程师
硬件电路 	电气工程师
高效液相色谱法（HPLC）	研发工程师,品管员,实验员
Ajax，Servlet，JSP	Java相关技术岗位
asp	java工程师
.熟练Ajax技术.熟悉JQuery框架	Java软件工程师
网站管理	网络推广,网站编辑、建设、优化、推广/软件测试、研发,负责包装车间管理,产品经理 网站运营 项目经理
审计管理	财务管理会计
熟悉Nginx反向代理负载均衡；	软件工程师
文件系统	内核,总经理秘书
SKETCHUP	设计助理,方案景观设计
c、c++语言	软件工程师
Direct3D	软件设计师
Microsoft VBScript (Visual Basic Script) 脚本语言	软件开发工程师
bash	高级项目经理
JNCIP (Juniper Networks Certified Internet Professional)	CCIE Cisco 项目经理 技术经理 架构 管理 主管 Solutions Engineer network supprot IT manager    
mindmanger	运营经理
ms	管理培训生
Solid Works	技术支持经理,机械设计,丝印、移印、喷涂工程师
Linux 网络管理	网络管理员
photoshop图片处理	办公室助理/行政助理,土建施工
食品安全	质量管理
C，C#语言	技术负责人
网络销售	设计师,旅游与酒店管理 行政后勤文秘,电子商务/网络销售/业务员,网站运营 市场总监 市场策划
PC硬件	软件工程师
质量统计分析软件	供应链经理
编导	副总经理,后期制作,培训师
学术指导	实习生
DOS-based Microsoft Windows操作系统系列	技术支持工程师,精装
AJAX、DWR、JQuery	java开发工程师
数字电路设计	生产副总经理
OFFICE办公软件（Word,Excel,PPT）	家教
PRO/E  CAD	机械工程师
熟练掌握基于Struts，Hiberna	JAVA软件开发
Adobe产品系列	培训生、储备生、工程师等
Jdbc	java软件工程师
PL-SQL开发工具	.net软件工程师
After Effects	实习生,普工
熟练掌握基于Struts2,Hibern	java
Excel/PPT/Word	市场销售拓展经理
广东省一级计算机	会计
根据不同项目确立适当的测试策略	软件测试工程师
QTP	软件测试工程师,软件测试,软件工程师
MATLAB编程语言	软件工程师
ERP部分模块	会计
WPS	工程师
Microsoft Outlook	商务助理,ISO专员,设计师,国际销售,人事专员，总经理助理，行政
servlet、jsp	web前端
weblogic	JAVA软件开发及相关工作。
office系列办公软件	NPI工程师
结构工程	结构专业负责人
WPF	高级软件工程师
综合布线	网络工程师,弱电工程师
AFT Fathom	助理
渠道开发	销售工程师
机械制图	光学仪器助工,工程师助理  机械学徒 ,机械设计与制图,工业工程师或制造工程师,设备科科员,设备维护,设计工程师,产品主管
网络技术	销售支撑
学习能力	销售部经理
*多年建筑设计、建筑工程、土木工程方面的实际经验。  *擅长与建筑师、业主、小业主及下游厂商之间的	房地产开发 现场施工 结构设计师 ,项目总经理
Solidworks	机械工程师,研发工程师,自动化设备设计工程师,电气工程师,采购经理/主管,无,设备工程师,机械设计工程师,海外项目销售 管理,光学工程师
DIV+CSS布局	java程序员
Spss	曾在外资集团公司历任 CEO管理助理 、商务代表、亚州区商务经理，企业管控、分公司代总经理
cad 	设计
ERP系统-SAP	首席信息官CIO
SAP FI	技术顾问/实施顾问
AJAX (Asynchronous JavaScript and XML)	软件工程师,java软件工程师,高级软件工程师,Java工程师,项目经理,java,.net c# 软件开发,web前端开发或java实习生,无,C++软件工程师
PS、AI等	平面设计
ERP-SAP系统	审计助理
算法	策划，市场，销售，软件开发,Linux 软件工程师
Microsoft Transact-SQL (T-SQL)	测试工程师
jquery	前端工程师,.net软件开发,JAVA开发,网站美工设计与制作,web前端开发工程师,初级软件工程是,asp.net中级程序员
管家婆财贸双全软件	人事
UI基本框架运用以及第三方框架的使用	iOS软件开发工程师
Office PowerPoint	电泳技师、人事助理、培训专员、体系稽查、6S稽查、安全稽查、文控管理、文员等
培训师管理	管理培训,工艺工程师
心理测试	人力资源专员
湘原控规 鸿业市政	建筑设计师
二级C语言	电子工程师
Legal research	法律/公关/业务发展/高级行政
Java、C#、ORACLE	数据分析工程师
证券从业资格	财务实习生,经理助理,会计助理,银行 贸易 证券 金融 咨询,销售员,经理,银行职员,金融，财务类,专业人员,项目经理、产品经理
DreamWeaver	Web Product Manager
ERP (企业资源计划)	机械工程师,计划/调度主管,采购员,财务经理,优衣库副店长,煤炭业务员,网络管理员,仓库经理,市场营销策划,电子商务经理
MySql、oracle	软件工程师
SolidWorks 2014 x64	机械设计工程师 
计算机维修技能	电脑维修技术员
维修 	钳工
索尼维加斯（视频制作）	全职
计算机二级C	机电工程师
建筑设计	实习生,建筑师,室内设计师助理
5S现场管理	生产文员、助理，培训专员
流媒体	软件工程师
C++ Java	Android应用软件工程师
Java XML类库	java软件工程师
Android四大组件	Android程序员
熟练使用使用QC和bugzilla、JI	软件测试职位
Oracle， Linux， Flash	java工程师
Memcached	高级软件工程师/架构师,技术类管理、资深.NET开发
Web Develop-JSP	软件工程师,java程序员,项目经理,java软件工程师,程序员,软件开发工程师,Java工程师,mainframe软件工程师,初级软件工程师,IT经理,咨询顾问
PSPICE	电子设计工程师
Office Applications	工程师,桌面支持
Eplan	电气工程师 机电工程师  设备工程师
dSPACE	电力电子
单片机设计	电子工程师
国家计算机三级	环保工艺工程师
全国计算机等级考试c语言	电子工程师
CDR、Flash	平面设计
Microsoft Office	销售经理,产品经理,实习生,金融类,人事专员,行政经理,会计助理,市场/营销/拓展经理；促销经理；广告客户经理；系统管理员/网络管理员；网站营运经理/主管,铸造工程师,工程师
问题解决技能	行政助理
计算机三级数据库	淘宝售前客服
生产制造数据管理	生产主管
Pro-E	项目主管,销售代表,Project Engineer,sr engineer
FLAC3D	轨道交通
jsp	java开发工程师,java工程师,java,高级软件工程师,android技术开发,java软件工程师,java程序员
Axure RP Pro	UI设计师
英语专业八级；擅长笔译；表达地道； 	英语翻译
Autocad/3Dmax/VR/photoshop/powerpoint	室内设计师
新闻稿/软文	编辑、策划
广告制作	市场部助理
Tcp/Ip	嵌入式软件工程师
熟练使用ArcGIS	软件工程师、测试工程师
Pro-e	机械工程师
MVC开发，Smarty模板，Think	PHP程序员
计算机测试	施工员,软件测试,网络工程师 系统工程师 技术支持工程师
windows	制程工程师,实施工程师
Flash Develop	FLASH开发工程师
VISUAL C++	售前/售后工程师
mysql数据库	研发,android开发工程师
经济学	咨询顾问,软件测试
计算机组装维修	IT主管
熟Apache服务器了解Nginx服务器	php程序开发
Oracle、MySql数据库	java软件工程师
Driver's License	销售 业务 客户经理 外贸,行政专员/助理   金融/证券/投资,工程师
ERDAS	数据处理工程师
硬件设计和仿真软件	嵌入式系统工程师
行政管理技能	行政助理,经理助理,贸易专员,行政总监、行政经理,行政专员,行政管理,编辑,行政及其他管理岗位,秘书、助理,人力资源
Linux c/c++   	程序员、软件工程师
掌握C语言，AutoCAD软件	工业、工厂类电气工程师
工程造价	品管管理
JS	java开发工程师,java软件开发工程师
计算机应用技术	总经理
电子商务软件 (B2X)	销售总监
cdr	网页设计,淘宝美工
MySQL	java软件工程师,java工程师,java开发实习生,软件工程师,java程序员 软件工程师,安卓工程师,java开发工程师,seo,linux运维工程师,C#软件工程师
struts2、hibernate、sp	java开发
Mercury Interactive TestDirector	软件测试工程师
Matlab-GUI	汽车产品规划专员
风险分析	投资管理部业务主管
access	财务管理,审计助理,会计,编辑
HTML,CSS,DOM	软件工程师
Premiere	动画师,市场策划
计算机常见软硬件的安装调试	网络通信类工程师
Jsp、servlet	Java开发
系统维护	实施工程师，产品工程师
计算机office	科员
JAVASCRIPT、struts	java软件工程师
ps dw ai	电子商务运营
中间件-CICS	性能测试项目经理
失效分析	机械工程师,可靠性工程师
VM exsi	IT运维
abode acrobat	工程师
签证申请	施工员
RHCE认证	ORACLE数据库工程师
Linux系统	管理、行政、文秘、人力资源、翻译等相关专业
ARM汇编语言	嵌入式开发工程师
caxa	机械设计工程师,机械设计师
掌握Sqlite数据库以及Pull解析; 	Android软件开发工程师
熟练操作MS Office软件	实习生
财务报告	财务分析、内审经理
宏业计价清单	造价
安防系统	技术支持工程师 安防工程师 项目管理
计算机考试国家二级	经纪人
T-SQL	java程序员
模具调试	工装设计员
PLC使用	电气工程师
AutoCAD	机械工程师,工艺工程师,机械设计工程师,土建工程师,电子工程师,设计工程师,研发工程师,水处理工程师,暖通工程师,实习生
机动车驾驶证	行政专员/助理
软件设计	嵌入式软件项目主管，高级工程师,IT管理员
Microsoft COM (Component Object Model)	软件工程师
CAMplus数控机床编程软件	机电工程师
概预算软件	通信设计师
项目评估	销售经理
abap编程、ALV报表开发	实施顾问
房地产估价	资产估价，房地产估价，土地估价或专业相关
PHP	软件工程师,自动化测试工程师,电子商务运营专员,网页设计,系统开发,代码编写,PHP软件工程师
Tecplot	CFD工程师
JIRA	软件测试工程师-项目leader,软件测试
物流流程	人事 行政
H3C交换机配置	数据库系统工程师
自学sketchup	景观设计师实习
java/servlet/jdbc	Java工程师
熟悉HTML	java软件工程师
java，oracle，linux	oracle 数据库管理员
云计算	管理职位
Arena，Fixsim 仿真软件	持续改善主管
土地测量	资产评估
CAD中级证	电工,结构工程师
seo	网络推广经理
jsp、asp.net、css、xml	计算机软件
Xcode 开发工具	iOS 软件开发工程师
ERP-Oracle	行政人事副总经理,项目经理,海关事务部门经理,物流经理,测试经理,ERP应用咨询顾问,Accountant,CEO,President,总裁,IT,总裁助理兼市场部经理
javascript与Jquery框架	php程序员
php	web前端工程师,c++服务器开发,开发工程师 安全测试工程师,软件工程师,研发经理/主管,电子商务项目经理,flash程序员,软件测试工程师,android软件开发工程师,javaEE软件工程师
机电维修	电工
系统设计	项目管理,
CADCAM	制造部经理
MFC	c/c++软件工程师,C++程序员,C++程序员/软件开发工程师,软件开发工程师,C++软件开发
Linux操作系统	IOS应用开发工程师
PROE三维制图软件	助理工程师
JSP，MVC/Struts，Servl	高级软件工程师
DataStage	项目经理,商业智能/Cognos软件工程师
品茗安全软件	土建工程师
android应用开发	软件开发
Proteus	建筑电气工程师,软件/硬件工程师,技术员
全国计算机三级	销售
Microsoft Visual C 编程语言	测试工程师
实现和维护	销售
新闻策划	销售主管、渠道总监、市场总监,媒体、互联网、金融
office excel	客服主管,土建施工员
会计标准和法规	会计,无,财务会计
Java/JSP	Software Test/Application Support
javascript	web前端工程师,java开发工程师,php程序员,前端开发工程师,java,软件开发,软件开发工程师,软件工程师,,.net开发工程师,软件测试工程师
Sql Server管理和维护	运维工程师
protel、protues、PLC	辅导员
eviews软件	统计员
Develop-.NET	软件开发
熟悉C语言程序设计	想去银行工作
VISIO	产品经理,项目经理,嵌入式软件开发,乐达冷风机厂,实施部经理/高级实施顾问,常务副总
SQL SERVER,ORACLE	软件实施项目经理
计算机二级	实习生,无,销售经理,技术员,教师,会计,翻译,经理助理,技术支持工程师,助教兼职
ABAQUS	研究院 项目经理 工程师,机械工程师,镀膜工程师,结构工程师
具有良好的编程习惯，使用SVN团队协作。	iOS开发工程师
j2ee	java开发工程师,软件工程师,java软件工程师
熟练使用Microsoft Office	软件测试工程师
掌握arm开发平台	嵌入式开发工程师
PTC Pro/ENGINEER、AutoCAD	设计工程师
MindManager	高级工程师,软件开发岗 （合同制）,产品经理,互联网产品经理,产品经理、产品策划、产品专员,售前支持
财务	会计部门会计助理,软件工程师,会计，财务，会计助理,财务经理、财务主管,行政
电路设计	射频 硬件工程师
Flash/Flex	flash交互工程师
单证	船务主管,Manager Assistant,单证员,客户执行
熟练使用三层架构，抽象工厂设计模式;	软件工程师
质量保证	质量管理工程师
SSH(三大框架)	开发工程师
pdf	CAD技术
Moldflow/Minitab	项目经理
PRO/E	机械工程师,营业员,助理机电工程师,汽车底盘设计工程师,表面处理主管,机械加工工艺工程师,机械设计工程师,结构设计员,机械设计,设计主管
JQuery，EXT等主流JS框	java程序员
JavaWeb	软件开发工程师
c++，	淘宝客服
html、xml	java软件开发
Photo Shop	技术服务
计算机基础	会计
Unix/Linux/BSD Devel-Embedded	android 驱动工程师,软件工程师,研发工程师,RFID 电子工程师
solidwork	机械产品设计研发/开发/项目管理
Spring/Struts2	软件工程师
体育新闻编辑/写作	财务，人力资源,编辑，文案
linux	软件工程师,软件测试工程师,C++开发工程师,软件开发工程师,数据库工程师,测试工程师/web/项目质量保证,无,android开发工程师,客服,初级程序员
ARM开发	嵌入式开发工程师
TSSD	结构工程师
AutoCAD(中级)	计算机，售后，客服，市场，猎头
Adobe Illustrator	平面设计师,管理培训生,服装类,平面设计,机械设计工程师,平面设计美工,设计师助理,咨询师,设计助理,高级ued经理
pr	记者
ps	景观设计助理,工程师助理,行政前台,室内设计师助理,景观园林设计师助理,设计,景观设计师助理,平面设计,游戏原画,经理助理
java	软件测试工程师,软件工程师,工程师,java web开发工程师,图像处理,C++软件工程师,ios软件工程师,嵌入式linux软件工程师,java开发工程师,c++开发工程师
Bash (Bourne Again Shell)脚本	售前工程师,C++研发/软件架构师
市场调研	经理助理,商务专员，贸易专员,网络管理,项目经理/总监,咨询师 / 策划专员,人事专员/人事助理,销售主管
Adobe Pagemaker	品牌经理  公关经理
驾照c证	报关 跟单
专业教育软件	通信
Corel WordPerfect Office	摄影师
MATLAB	机械工程师,工程师,软件工程师,证券/投资/基金/财务/理财/市场策划,电气设计,助理工程师,专利代理人,机械设计工程师,嵌入式软件工程师 单片机 dsp,助理研究员
AUTOCAD制图软件	装配工程师
草图大师	景观设计师,助理设计师
计算机辅助工程 (CAE)	办公室文员,机械工程师 机械设计师,机械设计,工程师,渠道销售
Protel 99 SE	软件测试工程师
XML	软件开发工程师,ASP.NETt程序员,java软件工程师
CorelDRAW	软装设计师,服装设计师助理,室内设计师助理,高级展览设计师,办公室办事员,工业设计师,设计总监
Cam350	PM
Windows Develop-Visual studio	北京奥维奥科技有限公司,系统项目管理工程师
Jsp+Servlet+JavaBean	软件工程师
Linux交叉编译工具	嵌入式软件工程师
WebDesign	WLAN无线工程师
国际营销	技术支持、国际贸易、市场营销
设计类 AutoCAD	电极材料研发
全国计算机等级二级（C语言）	信息管理
AutoCAD、SketchUp、Photoshop	景观设计师
广联达算量计价软件	土建施工员
人工智能算法	算法工程师
INFOR LN ERP	ERP工程师
熟练应用Spring，熟悉MVC三层架构	java程序员
熟练掌握QTP等自动化测试工具，能熟练编	软件测试工程师
终端销售点促销	渠道执行经理
TIA PORTV12	工程师
会计认证	会计,通信管理/运营/增值类、IT支撑、行政及商务管理,仓库管理员,财务相关,人事专员,无,会计助理、会计文员、会计,财务主管,出纳员,会计；出纳员；财务/会计助理；会计文员
protel 99se	单片机工程师/助理工程师
SAP system	IT技术支持
corejava	java软件工程师
STAAD PRO	结构工程师
计算机三级偏软	软件测试工程师
jpa	java工程师
风险投资	董事会秘书
车间管理	车间主任
旅游业	市场主管 公关经理
ANSYS	机械工程师,CAE工程师,幕墙设计,研发工程师,愿意从事与机械设计制造及其自动化有关的研究、开发、生产及管理工作！,全职,机械设计师 机械工程师 结构工程师,机械设计、分析类职位,机械设计师,机械设计工程师
oracle ，sqlserver数据库	java软件工程师
C/C++ MATLAB 	软件工程师
MATLAB、SPSS统计软件	数据分析师
音频处理软件	财务助理 \ 实习生
注塑成型	美的零部件公司注塑厂长,成型技术员
JavaScript、Jquery	Java软件工程师
计算机三级（数据库）	数据分析师
软件编程	嵌入式软件工程师
AutoCAD、PRO/E、CATIA	机械工程师
计算机技术及应用	项目经理助理
Office软件使用	汽车/摩托车制造、工程机械、
.net (C#)	计算机软件工程师
金融excel	风控，投资，副总，助理。
POTSHOP,CDR	采购
预算软件	部门总监
SQL Server,mysql	软件工程师
版权	副总编
Linux系统下字符驱动设备的编写	嵌入式软件工程师
java 三大框架开发	java软件工程师
SQL Server数据库	财务分析
WAP (无线应用协议) Enabled PDAs	翻译
android移动软件开发	MMI软件开发工程师
坚持到底	福建大区+区域经理
GSM （全球移动通信系统）	网优工程师,无线网络优化工程师,GSM网络优化
视频剪辑	后期剪辑
投资分析	技术总监,中高级管理人员
GIT程序版本管理	linux 软件工程师
UMTS（通用移动通信系统）	项目管理/产品经理/销售经理
市场营销	市场总监 区域经理 市场经理 策划 市场营销 推广 品牌经理,大区经理,市场开发/销售/外贸,股权投资或销售类,店长、值班经理,高级咨询顾问,市场营销,广告 销售 主管 本科 3年以上 招商 业务 精英,传媒,医药代表
通信行业	通信设计
动画	动画
熟练操作电脑 	行政专员/助理
对Ajax, JQuery, 有一定的了	web前端工程师（实习）
OC语言	ios开发工程师
VHDL语言	论坛编辑
数据恢复	技术支持工程师
测试工具	测试工程师
金融/财务法规	财务总监CFO,财务主管，理财经理等,软件工程师,会计、总账会计、主管会计
