部门团队主管	职位,工作,薪水,月薪,br,类别,级别,职责,全职,接待
出纳兼职人事	类别,级别,两年,性质,经验,职位,月薪,工作,职责,薪水
商业管理	工作,职位,经历,负责,助理,此次,编辑,技巧,一些,老师
高压运行电工	北京,电联,大厦,安装,职位,月薪,工作,电力工程,电工,RMB2400
车队队长	类别,级别,职责,职位,月薪,工作,薪水,全职,积极性,客户经理
研发高级工程师	V400,芯片,我司,安规,T080,RMB8500,经验,4000,职位,工作
摄影主管	拍摄,录制,方案,以及,活动,影棚,商品,所有,br,制定
销售管理、销售总监、经理、市场营销	销售,工作,负责,br,薪水,类别,管理,职位,月薪,代理商
小时工	工作,薪水,级别,职位,职业,学生,月薪,类别,其他,RMB700
淘宝店铺经理	熟悉,相关,工作,客户,br,电话,接听,登记,推广,每天
市场企划经理	职位,推广,工作,市场,br,策划,负责,活动,执行,区域
服装生产管理	样衣,到料,打样,批核,按量,类别,级别,数量,性质,服装
节目制作经理	包装,制作,宣传片,片头,工作,任职,动画,职责,br,设计
RKA业务专员	工作,3C,深圳,职位,门店,负责,公司,大润发,跟进,新店
销售行政	职位,薪水,全职,工作,级别,月薪,职责,br,类别,销售
教育产品策划	稿件,修订,策划,br,产品,行为习惯,根据,产品策划,撰写,加工
客服技术支持	职位,工作,类别,两年,级别,月薪,职责,薪水,职业,经验
工程师、技术负责人	职位,工作,公司,装修,投标,装饰,负责人,中小,RMB4000,担任
运营咨询专题组	类别,月薪,工作,薪水,全职,分析,职位,进行,运营,br
集团财务管理部财务总监	br,time,financial,财务,公司,工作,operation,department,50,manager
企业资金部门或银行中前台	br,职责,薪水,全职,职位,月薪,工作,实习生,数据,类别
自己建厂生产	职位,工作,生产,全职,类别,两年,级别,性质,经验,IE
法语翻译兼总经理助理	职位,类别,级别,月薪,工作,职责,薪水,全职,RMB3500,纳利佛
人事助理兼客服组长	类别,工作,职位,月薪,薪水,人力资源,协助,部新,招聘,学生
前台服务人员	业务,工作,主要,收费,移动,办理
计算机软件工程师	br,功能,开发工具,程序员,VS2008,framework,页面,2.0,net,CSS
媒介执行	br,工作,负责,沟通,媒体,全职,职位,监测,媒介,合同
JAVA开发工程师	开发,负责,br,维护,参与,设计,以及,项目,公司,系统
增值策划工程师	中心,宣传,学校,工作,采编,辅导员,代表,档案管理,优秀,积极
西餐宴会主管	西餐,工作,br,控制,要求,培训,外卖,根据,担任,饭店
辅助会计	月初,对账,结账,每月,盘点,记账,核算,凭证,票据,往来
主任助理兼高校事务部主管	高校,骨干,网络,负责人,路通,应用,研修班,校企,创新,大学生
物业客服主管	工作,负责,br,处理,全职,职位,客服,培训,物业管理,投诉
技术员/维护员	进行,主要,存在,通畅,是否,网络,华南区,线路,故障,确保
商务助理、销售助理	跟进,整理,简历,处理,跟单,招聘,月底,录入,MKT,审核
CR经理	职位,全职,类别,性质,月薪,工作,薪水,满意度,中级,RMB3500
店长/助理	类别,级别,职位,月薪,工作,职责,薪水,全职,职业,店内
质量经理、质量主管	供应商,审核,进行,PPAP,br,整改,评审,分析,控制,制订
客服专员+客服班长	以资,职位,月薪,工作,在职,解答,薪水,客服,全职,第二名
翻译    文秘	厂内,效益,类别,俄罗斯,承接,级别,俄语,工作,接待,职位
10000-15000	br,酒店,工程,万元,售楼处,平米,精装,E19,公共场所,广场
风景园林设计师	善于,专项,沟通,做事,布局,深化,严谨,方案,种植,职位
文案翻译和英文编辑，于英文相关的助理等	海外,移民,行业,地产
行政人事副总经理总监人力资源总监	职位,全职,性质,工作,级别,职责,类别,薪水,月薪,公司
营业担当、助理	高度,需要,收集,认真,情报,旗下,确认,信息管理,信息,子公司
内饰工程师	内饰件,类别,两年,级别,性质,方案,RMB6000,经验,工程师,职位
施工部	类别,两年,级别,性质,经验,管理,学会,职位,月薪,工作
制作部经理	系统管理员,网管,学校,类别,交流,RMB300,学术,牵头,实践,能力
肚皮舞老师	从事,毕业,成人,名族,考级,工作,少儿,舞蹈,以来,主要
人事专员/人事助理	工作,br,办理,员工,招聘,薪水,客户,全职,职位,月薪
精益生产导师	生产,管理,生产流程,数据管理,负责,IE,建立,系统,6S,2006
项目生产经理	工作,全职,职位,项目,薪水,月薪,职责,类别,级别,工程师
制片人编导	years,CareerLevel,experience,Type,Full,monthly,职位,JobSalary,月薪,工作
投资并购经理	br,全职,工作,职责,性质,公司,1000,投资,企业,集团
Produces the staff member	性质,工作,全职,公司,职责,规模,499,类别,两年,级别
分析工程师	原料,类别,级别,职位,分析方法,工作,在职,检测,HPLC,职责
行政人事副总	br,工作,组织,公司,负责,职位,企业,全职,制定,员工
生产总监/副总经理/总经理	br,資源,預算,管理,职位,調配,生產,協調,負責,編寫
董事长助理兼英语翻译	方面,以及,工作,参与,英语口语,负责,艺人,口语,处理,协调
銷售總監	策划,负责,采编,薪水,组织,类别,性质,RMB6000,专员,管理
Senior Merchandiser, Merchandiser Manager	职位,工作,do,br,sample,out,make,factory,vendors,production
日语翻译 日语营业助理 	日语,二级,155,互动式,高分,外教,进行,月薪,一级,职位
总裁助理（集团营销方向）	职位,工作,管理,助理,分公司,沟通,网点,策划,类别,完善
可靠性测试工程师	可靠性,工作,测试,分析,iPad,gt,Vibration,Mid,years,Environment
见习主管工程师	类别,设计,两年,机械,性质,经验,级别,职位,月薪,工作
外贸业务员,翻译等于英语相关职位	沟通,交流,流程,撰写,适应环境,一名,搜集,具体操作,熟悉,及时
客服经理/呼叫中心经理	br,中心,督导,呼叫,服务,客户,客户服务,员工,岗位,业务
完稿制作	检查,排版,主要,后期,设计,印前,负责,画册
SMT工程课长.SMT高级工程师	故障,br,抛料,导入,试产,维修,制程,新机种,工作,负责
mechaical engineer	work,系统,马来西亚,5S,操作,机械,就职,数据分析,包括,丰田
执行总裁助理/办公室经理	职位,工作,公司,company,br,negotiation,signing,file,manage,tax
信贷客户经理助理	类别,级别,职位,工作,月薪,职责,薪水,br,初级,全职
Java/J2EE开发工程师	概要,less,RMB4000,职业,years,测试,CareerLevel,英文,类别,设计
烹饪理论教师	学科,烹饪,膳食,原料,两门,担任,营养,卫生,主要
操盘手 交易员 分析员	管理,代表,RMB3500,职责,渠道,薪水,职业,职位,高级,业务
语言培训	类别,级别,性质,职位,工作,公司,职责,中级,以上,全职
车间主任兼设计工程师	工作,职位,公司,br,保质保量,协助,处理,CAD,协调,生产
人力行政中心总监	人力资源,类别,职位,月薪,工作,薪水,全职,级别,职责,职业
机电施工员	施工,负责,预埋,大冲,深化,组织,隐蔽,敷设,填写,安装
项目经理/研发主管	工作,项目,研发,设计,br,10,ISO9001,目前,检测,客车
经理助理，行政助理，合同管理，人事专员	配合,工作,完成,负责,协助,处理,检测,信息,外联,事业部
业务销售	工作,br,负责,销售,渠道,全职,性质,职责,类别,职业
oracle数据库工程师	技术,用户,br,SQL,jQuery,AIX,开发人员,HP,JavaScript,PowerDesigner
黄金外汇经纪人	JobCategory,JobSalary,Type,Employment,monthly,级别,全职,性质,职位,Full
会计/审计/财务	审计,协助,独立,高度评价,26,院长,内部,公差,购物,报销
分镜师	工作,职责,级别,经验,薪水,全职,性质,职位,月薪,两年
Supply Chain Procurement Officer	职位,月薪,工作,全职,类别,货品,薪水,经理助理,RMB2700,退换货
机械、结构工程师	负责,产品,性能,结构设计,要求,散热,处理,测试,所提,桑拿浴
自主创业	设计,开发工具,软件,职责,团队,项目,br,环境,硬件,服务器
会计经理助理	协助,工作,处理,审核,秘书长,职位,助理,职责,项目,往来款项
编辑主任	经验,工作,职责,类别,两年,级别,职位,月薪,薪水,全职
生产/技术副总经理	负责,生产,分公司,验收,调试,有限公司,管理,集团,公司,总经理
工艺工程师 研发工程师 隔膜 挤出 双螺杆 单螺杆 注塑机 同步双向拉伸 拉伸 锂电池 	类别,配方,职责,级别,职位,月薪,工作,全职,薪水,仪器
景观设计实习生	工作,园林设计,设计,职位,实习,项目,建模,景观设计,RMB1000,还有
柜员，俄语翻译，助理	br,职责,月初,发放,会计,类别,信用社,报表,级别,职位
sales 	signing,Make,them,trade,product,manager,export,participate,foreign,translation
见习经济人	职位,类别,级别,月薪,工作,职责,薪水,职业,电话,买卖
模块工程师	检检,br,12.6,合同,模切件,手机,性质,RMB6000,经验,管理
高考美术教师	培训,管理,RMB4000,职业,职位,高级,月薪,薪水,全职,类别
西班牙语商务助理	类别,级别,工作,职位,月薪,初级,职责,薪水,职业,RMB3500
土木材料检测员	设计,图画,施工图,根据
操作\采购	类别,级别,职位,月薪,工作,职责,薪水,中级,全职,箱单
研究分析师	研究,需要,武钢,项目,工作,结构设计,人员,分析,系统分析员,找出
低压电气工程师兼项目经理	职位,工作,设计,调试,负责,改造,传动,宁波,br,工程
系统电源开发部开发工程师	EMC,系统,一些,安规,调试,方案,协助,职位,工作,电路
植保、养护、农药、化肥、病虫害防治	协助,br,进行,协议,负责人,苗圃,框架,控制,及时,领导
大连松下汽车电子系统有限公司	职责,类别,级别,性质,职位,月薪,工作,焊接,薪水,全职
平面设计美工	以及,兼职,处理,售后,包装,宣传,发货,一些,性质,网店
湖南比亚迪A2网区域销售经理	制造,经销商,流程,策划,G3,管理,中旬,职位,销售,工作
行政管理 文秘 人力资源	教授,教程,文体,组织,理论,实用,写作,实务,国际贸易,行为学
机械设计 实习生	职责,性质,工作,全职,负责,br,设计,项目,学生,级别
BTB销售经理	职位,工作,月薪,全职,级别,销售,薪水,职责,br,业绩
tourist guide	俄语,怪楼,集发,角山,接送,职位,俄团,工作,葡萄酒厂,燕塞湖
管理、行政。	产品,推广,建立,指标,招商,完成,维护,团队
前台接待和管理	登记,人大,当天,类别,两年,级别,入住,经验,接待,职位
机械工程师/质保工程师	ISO9001,仪器仪表,管理体系,方面,工作,各种,性质,类别,设计,两年
区域销售经理、新产品推广经理、区域销售管理	分析,资源库,推广,提出,公告,监控,价格,建立,下发,计划
资讯部经理	br,工作,职位,全职,月薪,薪水,管理,类别,级别,高级
游戏策划实习生	开发人员,实战经验,月底,策划,CareerLevel,阶段,设计,工具,Type,Development
续期专员	医院,职位,职责,br,35,2000,保单,协议,地点,RMB3500
电气工程师电气部主管	指导,元器件,RMB3200,Mid,years,电气工程师,CareerLevel,技术员,类别,事项
Lead Software Engineer	br,设计,职责,优化,RTree,培训,编码,eclipse,任务,Memory
运营管理部	less,years,than,JobCategory,Level,JobSalary,Type,experience,Employment,monthly
车工.钳工	类别,级别,职位,月薪,工作,性质,薪水,全职,职业,加工
油漆	喷漆,职责,工作,做底,抛光,负责,交车,挖掘机,机体
项目经理&企业发展部经理	月薪,br,薪水,全职,职位,工作,番茄红素,GM,销售,技术顾问
建筑设计人员	方案设计,设计部,从事,工作人员
财务经理 会计主管	工作,可以,朝阳区,望京
印刷操作	工作,业绩考核,职位,月薪,生产,薪水,部门,br,全职,突发状况
项目分析员	职位,薪水,全职,月薪,工作,级别,职责,br,类别,初级
设备工程经理	管理,职位,保养,br,维护,设备,当机,指导,厂务,工作
维权	假冒,相关,负责,制造,重大,处理,销售,组织协调,信息,跟踪调查
锂离子电池研发岗位	成功,经过,两轮,训练,上岗,任务,两个,过程,我们,电解质
Java工程师	职责,工作,br,软件,项目,职位,模块,负责,类别,全职
渠道/分销经理	销售,职位,工作,月薪,薪水,全职,br,类别,Full,渠道
物流文员	职位,工作,月薪,br,全职,分析,盘点,薪水,部门,商品销售
市场营销部经理	运营,职位,负责,公司,br,网站,com,工作,www,营销
注册化工工程师	工作,职责,薪水,全职,职位,月薪,负责,级别,项目,类别
产品售前设计师	薪水,月薪,工作,全职,RMB3000,性质
行政助理或律师助理或销售	服务,社区,培训,办公室,会议室,本律,保证,随时,开会,搜集整理
注册房建监理工程师	试验,工作,质量,监理,br,控制,要求,施工,进行,施工现场
成人教育学院    行政专员/助理	职位,工作,管理工作,类别,教学,管理人员,学生,月薪,初级,职责
电焊工！~	普工
测试工程师一职	职责,指导老师,职位,月薪,工作,软件测试,测试,项目,薪水,小组
德语语法老师	月薪,职位,工作,薪水,德语,级别,能力,初级,团队,职责
计划控制见习	分析,br,less,RMB4000,years,验收,CareerLevel,编制工作,工艺,类别
技术支撑	工作,职位,级别,薪水,月薪,维护,负责,支撑,全职,性质
总监、生产经理、品质经理、	负责,项目,培训,策划,改善,咨询,经理,职责,职务,br
市场副总监	工作,职位,负责,组织,竟品,销售,营销,计划,市场,指导
装饰施工员	管理,施工,现场,工作,薪水,改造,精装,工装,职位,技术
商务助理，管理培训生，市场专员	级别,职位,工作,实习,职责,UCLG,沟通,协助,逻辑思维,友好城市
供应链部门	br,生产,计划,管理,工作,物料,材料,职位,采购,采购计划
外贸专员 外贸 英语翻译	职位,月薪,工作,br,信用证,保险单,业务,全职,制作,中英文
